feature,importance
horizon,2264
demand_diff_1,1863
demand_roll_mean_12,1837
demand_lag9,1748
demand_diff_12,1705
demand_lag8,1574
demand_lag7,1569
demand_lag6,1566
demand_lag5,1558
demand_lag3,1554
demand_lag10,1453
demand_roll_std_6,1362
demand_lag4,1343
demand_lag2,1302
demand_lag0,1299
demand_roll_std_3,1276
demand_lag11,1225
demand_lag1,1148
demand_roll_std_12,1083
demand_lag12,1042
demand_roll_mean_3,720
demand_roll_mean_6,685
aps,531
interest_rate_pct_lag12,505
avg_temp_f_lag3,486
interest_rate_pct_lag0,455
consumer_confidence_lag0,442
consumer_confidence_lag12,427
consumer_confidence_lag3,421
consumer_confidence_lag1,416
