product_id,aps,date,score,case
AH,AH_FIT,2023-05-01,1.0,TP
AH,ACNF,2022-12-01,1.0,TP
CL,CL_MB,2024-09-01,1.0,TP
AH,MB,2024-05-01,1.0,TP
AH,AH_FIT,2022-12-01,1.0,TP
CL,CL,2025-06-01,1.0,TP
HP,HP_FIT,2023-05-01,1.0,TP
HP,HP_3PH,2023-06-01,1.0,FP
AH,ACNF,2025-07-01,1.0,FP
AH,MB,2025-07-01,1.0,FP
AH,ACNF,2024-07-01,1.0,FP
AH,ALL,2022-07-01,1.0,FP
CL,CL_MB,2024-06-01,1.0,FP
CN,CN_1PH,2023-07-01,1.0,FP
AH,AH_R,2024-06-01,1.0,FP
CL,CL_FIT,2025-07-01,1.0,FP
CN,ALL,2025-07-01,1.0,FP
AH,ALL,2024-07-01,1.0,FP
AH,ALL,2025-07-01,1.0,FP
HP,HP_FIT,2025-08-01,1.0,FP
CL,ALL,2024-06-01,1.0,FP
CL,CL,2024-06-01,1.0,FP
AH,AH_R,2022-07-01,1.0,FP
CL,CL_MB,2025-07-01,1.0,FP
HP,HP_3PH,2024-06-01,1.0,FP
CL,CL_MB,2023-06-01,1.0,FP
HP,ALL,2025-08-01,1.0,FP
AH,AWUF,2023-07-01,1.0,FP
AH,AH_FIT,2022-07-01,1.0,FP
CL,CL,2025-07-01,1.0,FP
HP,ALL,2023-06-01,1.0,FP
AH,AH_R,2025-07-01,1.0,FP
CL,CL_FIT,2024-06-01,1.0,FP
AH,AH_R,2024-07-01,1.0,FP
AH,ACNF,2023-07-01,1.0,FP
CN,CN_FIT,2023-06-01,1.0,FP
FN,FN_80_MULTI,2024-12-01,1.0,FP
CN,CN_FIT,2025-07-01,1.0,FP
AH,AH_FIT,2025-07-01,1.0,FP
AH,ACNF,2022-07-01,1.0,FP
AH,MB,2022-07-01,1.0,FP
CL,ALL,2025-07-01,1.0,FP
FN,FN_90_MULTI,2023-01-01,1.0,FP
HP,HP_1PH,2025-08-01,1.0,FP
HP,HP_1PH,2023-06-01,1.0,FP
AH,AWUF,2025-06-01,1.0,FP
HP,HP_1PH,2025-07-01,1.0,FP
AH,AWUF,2025-07-01,1.0,FP
FN,FN_90_MULTI,2022-12-01,1.0,FP
CN,CN_3PH,2025-07-01,1.0,FP
AH,AWUF,2024-07-01,1.0,FP
HP,HP_3PH,2025-08-01,1.0,FP
AH,AH_FIT,2025-02-01,1.0,FN
HP,HP_FIT,2023-04-01,1.0,FN
AH,AH_R,2022-06-01,1.0,FN
CN,CN_FIT,2025-10-01,1.0,FN
CN,CN_FIT,2023-11-01,1.0,FN
AH,AWUF,2023-05-01,1.0,FN
FN,FN_90_MULTI,2024-09-01,1.0,FN
CL,CL_MB,2025-04-01,1.0,FN
FN,FN_90_VAR,2023-03-01,1.0,FN
CL,CL_MB,2022-10-01,1.0,FN
CL,CL,2022-06-01,1.0,FN
CL,CL_MB,2022-02-01,1.0,FN
AH,AH_FIT,2023-01-01,1.0,FN
FN,FN_80_MULTI,2022-07-01,1.0,FN
AH,ACNF,2025-12-01,1.0,FN
FN,FN_90_MULTI,2025-08-01,1.0,FN
CN,CN_1PH,2025-01-01,1.0,FN
CN,CN_1PH,2024-03-01,1.0,FN
CN,CN_1PH,2023-06-01,1.0,FN
FN,FN_80_MULTI,2024-07-01,1.0,FN
AH,AH_FIT,2023-10-01,1.0,FN
FN,FN_80_VAR,2024-08-01,1.0,FN
HP,HP_3PH,2022-04-01,1.0,FN
HP,HP_3PH,2022-10-01,1.0,FN
AH,MB,2025-04-01,1.0,FN
HP,HP_3PH,2022-01-01,1.0,FN
FN,FN_80_MULTI,2024-02-01,1.0,FN
HP,HP_FIT,2025-12-01,1.0,FN
CN,CN_FIT,2024-03-01,1.0,FN
CN,CN_FIT,2023-12-01,1.0,FN
HP,HP_1PH,2025-03-01,1.0,FN
HP,HP_FIT,2024-04-01,1.0,FN
AH,AH_FIT,2024-11-01,1.0,FN
