product,aps,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AH,ACNF,2025,12164.72,11555.72,12504.055,15535.82,17387.55,18053.38,19691.38,17630.38,16619.38,14318.2,11977.2,13092.2
AH,AH_FIT,2025,7777.72,7605.72,8618.415,10020.415,11747.315,12075.38,12795.38,12553.38,10811.38,9541.4,9681.4,8209.825
AH,AH_R,2025,7915.335,7323.335,8375.335,9680.86,11051.55,12382.38,12359.38,10432.38,9754.86,8712.23,7674.67,7947.67
AH,ALL,2025,54110.55,52515.55,58540.52,69951.52,82618.23,85022.38,89329.38,80098.38,74773.38,66139.51,56322.03,57815.32
AH,AWUF,2025,7477.72,7273.72,8232.415,9649.415,10274.74,11330.38,11825.38,11242.38,9860.86,9477.4,7313.05,7859.825
AH,MB,2025,20372.72,20354.72,22582.295,26781.295,33806.55,33022.38,34499.38,30081.38,29479.38,26001.37,21157.005,22324.825
CL,ALL,2025,26828.72,28983.72,30503.295,36222.295,38143.55,46287.38,44459.38,38940.38,41488.38,31979.45,29076.45,28819.825
CL,CL,2025,11736.72,12972.72,13672.055,15802.82,16746.18,19973.38,19688.38,17401.38,16025.38,14359.4,12812.4,12674.825
CL,CL_FIT,2025,5565.9,5634.9,5840.9,7351.3,7795.74,8940.86,8383.86,7825.86,7497.86,6359.32,5946.32,5713.32
CL,CL_MB,2025,10307.72,11157.72,11797.055,13830.055,14409.89,18189.89,17203.89,14529.89,18781.89,12157.4,11214.4,11198.825
CN,ALL,2025,36762.55,43752.55,46765.44,52861.44,68796.23,68217.38,69253.38,71327.38,61491.38,54928.03,47656.45,42493.76
CN,CN_1PH,2025,24294.335,27914.335,28171.335,34064.2,44558.55,44531.38,45488.38,46998.38,41115.38,35700.45,30757.45,26998.45
CN,CN_3PH,2025,4013.08,5137.08,5226.08,5821.62,7141.25,6683.25,7261.25,7325.25,6359.25,5481.32,5276.32,5005.32
CN,CN_FIT,2025,9293.335,11539.335,14177.335,13928.75,17800.89,17804.89,17305.89,17805.89,14818.89,14256.23,12387.23,11147.23
FN,ALL,2025,60914.72,57970.72,55237.52,47561.52,41528.55,34743.38,35683.38,42759.38,41507.38,54231.03,55528.03,65040.76
FN,FN_80_MULTI,2025,15135.335,12799.335,13370.335,11653.32,10255.89,8584.89,8011.89,9340.89,9664.89,13490.32,14196.32,16868.32
FN,FN_80_VAR,2025,28843.335,27809.335,26328.335,22516.64,19227.18,16185.38,17069.38,22270.38,18592.38,25208.16,25291.16,29310.45
FN,FN_90_MULTI,2025,10055.335,10275.335,9080.335,7952.91,7662.74,6087.86,6661.86,6863.86,8859.86,9169.32,9561.32,10884.32
FN,FN_90_VAR,2025,8037.335,8243.335,7664.335,6644.62,5616.07,5127.07,5182.07,5526.07,5632.07,7458.32,7574.32,9056.32
HP,ALL,2025,63001.55,59044.55,72086.52,81967.86,84315.23,94942.2,91142.2,88389.38,84735.38,68382.93,64791.51,61044.32
HP,HP_1PH,2025,26580.72,25953.72,31700.295,33737.295,36702.11,38909.11,38220.11,37849.11,35326.11,28433.45,27245.37,26069.825
HP,HP_3PH,2025,16801.335,15589.335,17991.335,19907.07,21755.11,26492.11,22937.11,22576.11,22812.11,18188.32,16438.32,16062.32
HP,HP_FIT,2025,20447.72,18329.72,23325.415,29234.415,26637.11,30590.11,31034.11,28839.11,27472.11,22498.2,22177.2,19775.2
