scenario,profit,variance,violates_variance,has_capacity_clipping
0,7560180887.383081,970034934.1632961,False,True
1,7571363611.092426,825284688.3061595,False,True
2,7563029750.9357195,1294007544.2710376,True,True
3,7525119818.573803,1031251563.8105315,True,True
4,7551731334.826892,908257419.3789738,False,True
5,7560345120.8150215,832918656.363422,False,True
6,7559694947.527098,938125534.0040646,False,True
7,7521859557.581459,1017607897.5462165,False,True
8,7515037639.610701,1112747996.743705,True,True
9,7515490753.564932,1159131190.455146,True,True
10,7550967310.850604,1129815682.5793912,True,True
11,7505946578.024692,1040375540.6012154,True,True
12,7547007239.71091,1180950465.9266639,True,True
13,7548246999.081759,1023357341.0132508,False,True
14,7552602886.827007,981841550.3161944,False,True
15,7558043368.005106,957697749.7882417,False,True
16,7521859645.457869,1041584051.3666695,True,True
17,7524935055.551624,848841134.1309124,False,True
18,7523013287.82883,958788424.1467022,False,True
19,7504148795.308863,1160445424.9617555,True,True
20,7561780534.560721,948873267.610795,False,True
21,7535564566.746765,1174695007.4533353,True,True
22,7510185845.589037,1168132856.854845,True,True
23,7521404845.510635,1042654930.5942556,True,True
24,7554553721.320616,1019410178.3331846,False,True
25,7539101613.414811,1030250358.2130814,True,True
26,7558233054.031622,1092658795.2292588,True,True
27,7529150250.861926,1144173174.3920143,True,True
28,7508531337.681002,1106684460.2686255,True,True
29,7548945260.911298,1194139388.689237,True,True
30,7567781753.193601,1092273631.1824138,True,True
31,7560138163.777292,877860365.40662,False,True
32,7521129022.322447,1179842277.1675262,True,True
33,7530964951.9055195,900374775.9996749,False,True
34,7525817748.546347,1083647351.6903088,True,True
35,7544570347.017199,1072648414.6190758,True,True
36,7457165993.043535,1041479895.2086816,True,True
37,7487349053.707033,1121698928.4499576,True,True
38,7519575231.541331,1052349408.076444,True,True
39,7521438381.737111,946523763.1627488,False,True
40,7550619927.832196,1013697243.7902819,False,True
41,7546684416.4951725,1209015286.9398925,True,True
42,7538152705.33367,979532449.3354974,False,True
43,7519363465.378044,1061610248.3495613,True,True
44,7529869243.382816,1001109466.0533051,False,True
45,7594378054.4701,1077824140.4651148,True,True
46,7557135751.0071125,1392229366.7868154,True,True
47,7528748193.60648,761869299.0837902,False,True
48,7570281227.618358,1110586256.7063878,True,True
49,7514693944.453168,857599616.0346794,False,True
50,7538219845.775661,1145379215.257932,True,True
51,7494359446.987711,1051128570.1591963,True,True
52,7551331196.335751,951488621.3317019,False,True
53,7523742903.158548,970417180.1684417,False,True
54,7536737306.155875,1092787177.1263654,True,True
55,7534359107.158989,1120264300.3317564,True,True
56,7541799323.526422,917534115.9262305,False,True
57,7553480520.697332,850716663.8317026,False,True
58,7542378546.913734,847690774.9105177,False,True
59,7529220406.094943,1395422313.620661,True,True
60,7546037064.725389,1102042421.9681761,True,True
61,7514387584.186707,973311358.8761683,False,True
62,7545548198.12026,946222423.9237655,False,True
63,7563134855.688222,1040473725.1609751,True,True
64,7538527783.568495,1107482261.1917934,True,True
65,7535284966.426721,976791803.5519309,False,True
66,7562715973.60077,1045146364.9645724,True,True
67,7558781583.226296,1132613287.2038376,True,True
68,7561920267.757651,855664100.1249762,False,True
69,7533853691.881496,1063266416.5620589,True,True
70,7577133550.337643,898236633.6437961,False,True
71,7535808714.664618,1194286224.005845,True,True
72,7480449271.927216,953578821.1758448,False,True
73,7511482596.710834,754043585.2779709,False,True
74,7523879893.02153,992468321.6725497,False,True
75,7499388108.280907,1117238730.640713,True,True
76,7552208478.282038,1078153069.5128884,True,True
77,7526759189.495219,1157280090.3747067,True,True
78,7508384858.238286,942799997.8476976,False,True
79,7531760641.473236,1020566036.3664025,False,True
80,7542966602.804796,1177319796.664669,True,True
81,7520924792.887367,1073507670.2315106,True,True
82,7517845069.105222,922410935.3300904,False,True
83,7550429435.488955,952973447.4975895,False,True
84,7575067429.798342,1095791825.864789,True,True
85,7517630632.045666,890166796.3774127,False,True
86,7543012102.437972,931280559.0882622,False,True
87,7546259229.813294,1112914289.511441,True,True
88,7564475033.257664,1028084637.0930108,False,True
89,7526114415.209856,1050539999.506049,True,True
90,7538504499.909103,986783766.9139849,False,True
91,7541108654.729401,1132645827.8065965,True,True
92,7483200285.471536,1001785456.8245311,False,True
93,7533296871.373135,1023143510.7637429,False,True
94,7528509839.161432,982087728.8101249,False,True
95,7496121187.916898,1057729030.4496078,True,True
96,7594098843.589412,1010637317.2248346,False,True
97,7578422612.252791,1112440823.299569,True,True
98,7512211620.803263,1067890397.59834,True,True
99,7633547283.837507,1204532107.2579925,True,True
100,7526072110.426684,1027282732.272913,False,True
101,7531061225.444594,988934652.3941144,False,True
102,7525251681.640986,922439053.0282828,False,True
103,7548503744.1046095,1008667819.7379047,False,True
104,7530353283.848908,1105931844.9264123,True,True
105,7536673666.819029,1232520729.7373693,True,True
106,7537699731.897825,1016504738.1979952,False,True
107,7545127587.317331,1171620502.5974014,True,True
108,7533614398.121389,971655539.3763736,False,True
109,7550164625.923457,867211215.1324221,False,True
110,7549702007.845331,1008041278.3450228,False,True
111,7530141254.984785,1094046813.2007446,True,True
112,7572936005.52013,1110469017.4228833,True,True
113,7527401972.902785,1044977858.085536,True,True
114,7528254759.902948,915416524.1451411,False,True
115,7536331184.052075,944482118.3759354,False,True
116,7520935985.174144,1100142267.0042074,True,True
117,7555866376.156898,1075404424.0803843,True,True
